Epoch,Batch,Loss
1,0,1.4592303714236698
1,100,0.8376235961914062
1,200,0.7659810040448163
1,300,0.8525775187724346
1,400,0.8183914390770165
1,500,0.7721866916965794
1,600,0.7699082348797772
1,700,0.6644858282965582
1,800,0.6402875023919183
1,900,0.6624853288805163
1,1000,0.6540564459723395
1,1100,0.6597979262068465
1,1200,0.6013518668509819
1,1300,0.6358919916926203
1,1400,0.6676572851232581
1,1500,0.6790358053671347
1,1600,0.6324026777937606
1,1700,0.7139840512662321
1,1800,0.5828308414768528
1,1900,0.6161221684636297
1,2000,0.7212014069428315
1,2100,0.6472201991725612
1,2200,0.6432319847313134
1,2300,0.6958257314321157
1,2325,"tf.Tensor(0.71608704, shape=(), dtype=float32)"
1,2325,418.63023114204407
2,0,0.5710229100407781
2,100,0.5548213237040752
2,200,0.6183869645402238
2,300,0.595289591196421
2,400,0.5917107865617082
2,500,0.5971030157965582
2,600,0.5239593918259079
2,700,0.6020765562315245
2,800,0.5367314622208879
2,900,0.5549761797930743
2,1000,0.5121787303202862
2,1100,0.5526836498363598
2,1200,0.5290529405748522
2,1300,0.4840441523371516
2,1400,0.5933103819151182
2,1500,0.6027552114950644
2,1600,0.548847043836439
2,1700,0.5617279877533784
2,1800,0.528932777610985
2,1900,0.6262434366587046
2,2000,0.6749724310797613
2,2100,0.6192054748535156
2,2200,0.6079557264173353
2,2300,0.5156486098830765
2,2325,"tf.Tensor(0.5742919, shape=(), dtype=float32)"
2,2325,386.3783938884735
3,0,0.589550172960436
3,100,0.5238756746859163
3,200,0.5850628517769478
3,300,0.5466618409027925
3,400,0.517253978832348
3,500,0.49695984092918605
3,600,0.5414598825815562
3,700,0.499961028227935
3,800,0.5792900291649071
3,900,0.45409352070576436
3,1000,0.46757564029178106
3,1100,0.4567929860707876
3,1200,0.5145658544591956
3,1300,0.5167861113677154
3,1400,0.5364665985107422
3,1500,0.5564621074779613
3,1600,0.48683279913824956
3,1700,0.4858686601793444
3,1800,0.5923129932300465
3,1900,0.6005685651624525
3,2000,0.565472783269109
3,2100,0.604667921324034
3,2200,0.5356468509983372
3,2300,0.5391621976285368
3,2325,"tf.Tensor(0.52915287, shape=(), dtype=float32)"
3,2325,387.79610562324524
4,0,0.5078764735041438
4,100,0.5091943483094912
4,200,0.530018780682538
4,300,0.5193769094106313
4,400,0.47983602575353673
4,500,0.48399378802325277
4,600,0.577862919987859
4,700,0.5052297953012828
4,800,0.5431279362858953
4,900,0.5145346151815878
4,1000,0.47867573918523015
4,1100,0.4085810635540936
4,1200,0.5520430899955131
4,1300,0.5252802565291121
4,1400,0.568408862964527
4,1500,0.5702406393515097
4,1600,0.5553991472398913
4,1700,0.5318906629407728
4,1800,0.44752667401288004
4,1900,0.5153167312209671
4,2000,0.6014355839909734
4,2100,0.5343373272870038
4,2200,0.5112289738010716
4,2300,0.4796369913462046
4,2325,"tf.Tensor(0.49790743, shape=(), dtype=float32)"
4,2325,387.7346785068512
5,0,0.4882113998000686
5,100,0.4651707829655828
